Poshmark Sales Report for @omclosetgalore,"","",!ambassador sue,👩🏻‍💻!
12/31/2019 - 08/30/2026
Notes:
"** Only completed sales, where you have received earnings, are shown in this file."
** Bundles are displayed as itemized listings.
"** Order price for a bundle item is the listing price, minus the bundle discount or the offer discount, if either was applied."
"** Lowest set price is the lowest historical price set by the seller, not including offer or bundle discounts."
"** Seller shipping discount for an individual bundle item is the bundle item price, divided by the total bundle price, multiplied by the seller shipping discount for the total bundle."
"** Net earnings is order price, minus the seller shipping discount, minus Poshmark fees, minus tax if applicable."
** The balance amount on this page should not be used for accounting purposes. Please refer to the 'My Balance' page to find the amount that can be used/spent/withdrawn.
"** If sales tax was collected from the buyer, it will be submitted to the state on your behalf. Please see Terms of Service for full details."
""
Listing Date,Order Date,SKU,Order Id,Listing Title,Department,Category,Subcategory,Brand,Color,Size,Bundle Order?,Offer Order,NWT,Cost Price,Order Price,Lowest Set Price,Seller Shipping Discount,Upgraded Shipping Label Fee,Packaging Fee,Hazmat Noncompliance Fee,Overweight Label Fee,Your Earnings,Buyer State,Buyer Zip Code,Buyer Username,Sales Tax (Paid by Buyer),Notes,Other Info
08/08/2021,02/26/2023,"",63fbe1789d619478bd0bcf67,"🆕Rachel Zoe Daisi buckle slide clog, black, Sz 7",Women,Shoes,Mules & Clogs,Rachel Zoe,"Black,Gold",7,N,N,N,"",$120.00,$120.00,$0.00,$0.00,$0.00,$0.00,$0.00,$96.00,WA,98042,vmanperformance,$12.62,$0.00,"",
01/30/2022,03/13/2023,"",640f589db28d0ba637e419d4,"Like New Vintage Frye Shoulder Hobo Bag, Red",Women,Bags,Hobos,Frye,Red,OS,N,Y,N,"",$165.00,$220.00,$2.98,$0.00,$0.00,$0.00,$0.00,$129.02,NC,27103,rdw1718,$11.90,$0.00,"",
07/11/2021,03/28/2023,"",64237ed8bee4b0f4004585a7,🆕Pikolinos Perf Bucket Bag - Nata (white),Women,Bags,Crossbody Bags,PIKOLINOS,White,OS,N,Y,Y,"",$125.00,$160.00,$7.97,$0.00,$0.00,$0.00,$0.00,$92.03,OH,44620,corbin500,$8.44,$0.00,"",
07/28/2021,06/18/2023,"",648ef32ea2c42e6da3442220,"🆕WOB - Pikolinos Mykonos Sandal, Brown, sz 37",Women,Shoes,Sandals,PIKOLINOS,"Brown,White",37EU,N,Y,N,"",$50.00,$60.00,$2.02,$0.00,$0.00,$0.00,$0.00,$37.98,FL,32405,lauralcraig2002,$3.92,$0.00,"",
09/11/2020,06/18/2023,"",648f3088c793c436edf7daf0,Frye Paige Bucket - Brown,Women,Bags,Crossbody Bags,Frye,"Gray,Brown",OS,N,Y,N,"",$130.00,$168.00,$2.98,$0.00,$0.00,$0.00,$0.00,$101.02,AZ,85382,lucky_beagle,$10.53,$0.00,"",
08/24/2021,08/07/2023,"",64d0fa30ec2c7f101e7d8a42,"🆕Coach Desaree, Magenta, Size 9.5",Women,Shoes,Heels,Coach,Pink,9.5,N,Y,Y,"",$82.00,$118.00,$7.97,$0.00,$0.00,$0.00,$0.00,$57.63,IN,46919,didi135,$5.74,$0.00,"",
08/10/2022,10/19/2023,"",65306d2d78b9e8b82d8db5e8,"🆕wob Aquatalia inside zip boots, grey Nubuck, Sz 9.5",Men,Shoes,"",Aquatalia,Gray,9.5,N,Y,N,"",$100.00,$155.00,$7.97,$0.00,$0.00,$0.00,$0.00,$72.03,NY,12831,pocomoco,$3.00,$0.00,"",
07/20/2021,03/15/2024,"",65f4e7529aaf552abbead94b,"Frye Cameron Flap Small Satchel, Grey",Women,Bags,Satchels,Frye,Gray,OS,N,Y,N,"",$200.00,$218.00,$2.02,$0.00,$0.00,$0.00,$0.00,$157.98,CO,80538,foolforchrist7,$13.40,$0.00,"",
08/11/2022,04/30/2024,"",663170b28e1e70bb1d45f6a3,"🆕 Aquatalia Tully Sandal, I’m black, Sz 7",Women,Shoes,Sandals,Aquatalia,Black,7,N,Y,Y,"",$66.00,$95.00,$2.02,$0.00,$0.00,$0.00,$0.00,$50.78,NY,10025,wmwong253,$0.00,$0.00,This sale is exempt from sales tax.,
06/21/2024,06/22/2024,"",667748432938f8f86256a6a3,"🆕WOB Chippewa Boots, olive green, sz 10",Men,Shoes,Boots,Chippewa,Green,10,N,Y,N,"",$100.00,$140.00,$2.02,$0.00,$0.00,$0.00,$0.00,$77.98,NC,28214,fuelfoom,$7.68,$0.00,"",
02/20/2023,07/13/2024,"",6692ba9965df9f24d07efe54,"Massimo Dutti sunglasses, yellow/orange",Women,Accessories,Sunglasses,Massimo Dutti,"Yellow,Orange",OS,N,Y,Y,"",$30.00,$50.00,$2.02,$0.00,$0.00,$0.00,$0.00,$21.98,FL,33198,anyfdez,$0.00,$0.00,This sale is exempt from sales tax.,
09/06/2021,09/19/2024,"",66ecdc876e661493885f657a,"Frye Giant Shopper Tote bag, blue/red",Women,Bags,Totes,Frye,"Blue,Red",OS,N,Y,N,"",$185.00,$250.00,$0.00,$0.00,$0.00,$0.00,$0.00,$148.00,OK,73044,jefmel68,$9.72,$0.00,"",
11/11/2024,11/11/2024,"",6732d5a33a2fa70d0a7ed0dc,"Giorgio Armani Lasting Silk UV Compact Foundation -#5, refill",Women,Makeup,Foundation,Giorgio Armani,Cream,OS,N,Y,Y,"",$40.00,$50.00,$2.02,$0.00,$0.00,$0.00,$0.00,$29.98,NY,10011,annd212,$4.08,$0.00,"",
09/06/2021,11/11/2024,"",66fa467ee1eec01a27b76377,"Frye Natalie Moto Shoulder, Maroon",Women,Bags,Shoulder Bags,Frye,"Red,Purple",OS,N,Y,N,"",$130.00,$170.00,$7.97,$0.00,$0.00,$0.00,$0.00,$96.03,NJ,08824,mb187,$8.61,$0.00,"",
07/11/2024,11/12/2024,"",6733949929c5ea07fb4a757a,"Ray Bans RB-2186 State street, 52mm, Havana",Women,Accessories,Sunglasses,Ray-Ban,"Brown,Orange",OS,N,Y,N,"",$100.00,$130.00,$0.00,$0.00,$0.00,$0.00,$0.00,$80.00,FL,32950,hanna621,$7.56,$0.00,"",
08/23/2020,11/13/2024,"",673537a37234cfe15ee21ba9,🆕NWT Serrated Bread Knife - silver 8in+4.9in,Home,Kitchen,Knives & Cutlery,"",Silver,OS,N,Y,Y,"",$12.00,$17.00,$0.00,$0.00,$0.00,$0.00,$0.00,$9.05,HI,96768,jenbarr66,$0.90,$0.00,"",
11/22/2024,12/08/2024,"",6755bce6be2429ceb74ab940,"NWOT Zoo York zip up fleece lined hoodie, Sz M, black & white",Men,Sweaters,Zip Up,Zoo York,"Black,White",M,N,Y,N,"",$20.00,$36.00,$2.02,$0.00,$0.00,$0.00,$0.00,$13.98,HI,96720,ohm_chic,$1.17,$0.00,"",
09/12/2024,12/11/2024,"",675a7b2aa045bb6d88017ff7,🆕 Robin Ruth Amanda Collection - Cap New York - floral multi,Women,Accessories,Hats,Robin Ruth,Pink,OS,N,Y,Y,"",$10.00,$19.00,$0.00,$0.00,$0.00,$0.00,$0.00,$7.05,AL,36206,thharbour,$0.80,$0.00,"",
02/22/2023,12/18/2024,"",6763937d3ff7eec700fd5bfa,"Veronica Beard Sherpa, Army Green, size Large",Women,Jackets & Coats,"",Veronica Beard,"Orange,Green",L,N,Y,N,"",$115.00,$215.00,$2.02,$0.00,$0.00,$0.00,$0.00,$89.98,PA,19139,doh5621,$0.00,$0.00,This sale is exempt from sales tax.,
09/11/2022,01/09/2025,"",67807e5aac2ce215c38c0eef,"Kids Frye Slouch boots, antiqued ivory, Sz 13 (unisex)",Kids,Shoes,Boots,Frye,Cream,13G,N,Y,N,"",$50.00,$68.00,$2.02,$0.00,$0.00,$0.00,$0.00,$37.98,WY,82604,ckevans13,$2.50,$0.00,"",
09/08/2020,02/01/2025,"",679e36ec1fea02be1f47c6f6,Frye Paige Bucket Drawstring - Black,Women,Bags,Crossbody Bags,Frye,Black,OS,N,Y,N,"",$170.00,$168.00,$0.00,$0.00,$0.00,$0.00,$0.00,$136.00,IL,60654,lchiodini,$17.44,$0.00,"",
08/23/2021,01/30/2025,"",679304de18fbdc8ad73f72b8,"🆕wob Frye inside Zip boot, brown, Sz 9",Men,Shoes,Boots,Frye,"",9,N,N,N,"",$205.00,$205.00,$2.02,$0.00,$0.00,$0.00,$0.00,$161.98,FL,32225,donchacon123,$15.83,$0.00,"",
02/09/2025,02/23/2025,"",6791dc63c08c2117f0b5b664,"Frye Harness 12R, tan, Sz 6",Women,Shoes,Heeled Boots,Frye,Tan,6,N,Y,N,"",$175.00,$255.00,$7.97,$0.00,$0.00,$0.00,$0.00,$132.03,CA,92867,leatorres223,$13.57,$0.00,"",
11/16/2024,03/11/2025,"",67d0dc320610d960029c77b2,"Frye Casey Studded ankle wrap sandal, black, Sz 7",Women,Shoes,Sandals,Frye,Black,7,N,Y,N,"",$50.00,$99.00,$2.02,$0.00,$0.00,$0.00,$0.00,$37.98,IL,60087,del3zwy35mic2yj,$4.76,$0.00,"",
01/25/2025,03/17/2025,"",67d89df5e1eec090b6e58de9,"🆕nwt Remington dog leash 6’, green white",Pets,Dog,"Collars, Leashes & Harnesses",Remington,"Green,White",OS,N,Y,Y,"",$15.00,$28.00,$2.98,$0.00,$0.00,$0.00,$0.00,$9.02,FL,32949,holski47,$1.40,$0.00,"",
01/18/2025,03/25/2025,"",67e2a832d5074628a0c76e0c,"🆕 Swatch Polawhite, color: white",Women,Accessories,Watches,Swatch,White,OS,N,Y,Y,"",$50.00,$75.00,$0.00,$0.00,$0.00,$0.00,$0.00,$40.00,MD,20895,fajita238,$3.00,$0.00,"",
07/23/2021,05/06/2025,"",6819ea41b6a2b3c98eae07e9,"Alexander McQueen Court low top, white/rose, 37.5",Women,Shoes,Athletic Shoes,Alexander McQueen,"Pink,White",37.5EU,N,Y,N,"",$200.00,$475.00,$0.00,$0.00,$0.00,$0.00,$0.00,$160.00,FL,33409,leeshleesh,$14.58,$0.00,"",
03/23/2025,07/11/2025,"",6871ea506b27568a449ecf75,Frye Deborah Studded Crossbody Bag - Brown,Women,Bags,Crossbody Bags,Frye,Brown,OS,N,Y,N,"",$165.00,$213.00,$2.32,$0.00,$0.00,$0.00,$0.00,$129.68,NC,28023,nightingowl357,$11.96,$0.00,"",
11/30/2024,08/19/2025,"",68a53a85fbae95e4cc496b4d,"🆕Bubbletastic dog bubble machine, orange",Pets,Dog,Toys,bubbletastic,Orange,OS,N,N,Y,"",$30.00,$30.00,$2.32,$0.00,$0.00,$0.00,$0.00,$21.68,TX,77504,misterjdf,$2.97,$0.00,"",
11/30/2024,08/22/2025,"",68a9250fa56f00d1f8451cb0,"🆕wob Frye 12R Engineer, gaucho (brown), Sz 9",Men,Shoes,Boots,Frye,Brown,9,N,Y,N,"",$204.00,$240.00,$2.32,$0.00,$0.00,$0.00,$0.00,$160.88,CO,81201,apeterson770,$17.65,$0.00,"",
02/23/2025,09/09/2025,"",68bfd19a1277fb5cd01ba551,"Beauty of Joseon - Ginseng Cleansing Oil, (210ml/7.1 Fl oz)",Women,Skincare,"",beauty of joseon,"",OS,N,Y,N,"",$14.00,$21.00,$3.28,$0.00,$0.00,$0.00,$0.00,$7.77,TX,76255,ericka_redd,$0.00,$0.00,This sale is exempt from sales tax.,
11/15/2024,09/06/2025,"",68bbdeda3391644fbbef2ba4,"🆕wot Frye Harness Hobo bucket, black",Women,Bags,Hobos,Frye,Black,OS,N,Y,N,"",$160.00,$195.00,$0.00,$0.00,$0.00,$0.00,$0.00,$128.00,TN,37402,sfmajoras,$15.57,$0.00,"",
09/07/2025,09/24/2025,"",68d446e500d30f1cf0139122,"Frye Vintage Cameron Mini Satchel, brown",Women,Bags,Mini Bags,Frye,Brown,OS,N,Y,N,"",$120.00,$144.00,$0.00,$0.00,$0.00,$0.00,$0.00,$96.00,KS,67354,lacy817,$9.30,$0.00,"",
09/15/2022,10/17/2025,"",68f2c6d168ca0ea6c8b42114,Anna Sui x Frye Cameron Mini calf hair crossbody - burgundy multi,Women,Bags,Crossbody Bags,Frye,"Red,Purple",OS,N,Y,N,"",$140.00,$258.00,$1.50,$0.00,$0.00,$0.00,$0.00,$110.50,LA,70119,fleurtacious,$14.00,$0.00,"",
08/13/2022,03/15/2026,"",6988247d0430dfcb570ed83a,"🆕wob Pikolinos Lisboa lowtop, Sz 37, Brandy (brown)",Women,Shoes,Sneakers,PIKOLINOS,Brown,37EU,N,Y,N,"",$62.00,$88.00,$6.49,$0.00,$0.00,$0.00,$0.00,$43.11,CA,92223,lilith23,$4.81,$0.00,"",
03/03/2025,03/17/2026,"",69b978cc102e427a9c4a876a,"NWOB Coach wedge, c logo, dark grey (looks blue) Sz 7",Women,Shoes,Wedges,Coach,"Blue,Gray",7,N,Y,N,"",$40.00,$58.00,$6.49,$0.00,$0.00,$0.00,$0.00,$25.51,NE,68521,iphone587,$2.90,$0.00,"",
03/20/2026,03/27/2026,"",69c6e0f81fea02985b517df0,🆕 NIB Oura Ring 4 - silver - sz 7,Electronics,Wearables,Rings,Oura,Silver,OS,N,Y,Y,"",$228.00,$269.00,$1.50,$0.00,$0.00,$0.00,$0.00,$180.90,PA,19403,ashleykenny1717,$13.98,$0.00,"",
07/17/2021,03/27/2026,"",69c695da59f4d67dc4caa205,"🆕Frye Blair Side Ghillie, Cognac, sz 7.5",Women,Shoes,Sandals,Frye,Brown,7.5,N,Y,Y,"",$134.00,$110.00,$0.00,$0.00,$0.00,$0.00,$0.00,$107.20,WA,98116,aldousness,$14.82,$0.00,"",
08/15/2022,04/25/2026,"",69ed7ebf134d3ec056b095ae,"🆕WOB Taryn Rose Dad Sandal (Lydia), Marine (blue), Sz 6",Women,Shoes,Sandals,Taryn Rose,Blue,6,N,N,N,"",$70.00,$70.00,$0.00,$0.00,$0.00,$0.00,$0.00,$56.00,IL,61705,mereotto,$7.46,$0.00,"",
10/15/2025,04/24/2026,"",69ec08d404b36dec68b71951,LIKE NEW- Pantone FHI Color Specifier Binder (Fashion Home + Interiors),Home,Other,"",Pantone,"Blue,White",OS,N,N,N,"",$345.00,$345.00,$6.49,$10.00,$0.00,$0.00,$0.00,$269.51,CA,90028,maiacrf,$33.64,$0.00,"",
01/18/2025,05/08/2026,"",69fdd1350430dfe600c40cad,"🆕 NWT All in Motion Half Zip Pullover, Sz L, Heathered Gray",Women,Sweaters,"",all in motion,Gray,L,N,Y,Y,"",$12.00,$21.00,$1.50,$0.00,$0.00,$0.00,$0.00,$7.55,NY,10989,pamelarogers1,$0.75,$0.00,"",
07/11/2021,05/06/2026,"",69f87d2c38b0585e7ff73cb9,"🆕Pikolinos Cabanes Sneaker, White, sz 38 (7.5-8)",Women,Shoes,Sneakers,PIKOLINOS,White,7.5,N,Y,Y,"",$108.00,$120.00,$1.50,$0.00,$0.00,$0.00,$0.00,$84.90,IL,60018,cmp68581,$11.58,$0.00,"",
03/08/2025,05/16/2026,"",6a0899c29690947c3871152c,"🆕NWOB Frye Deborah Studded boot, Sz 6, gold/brown",Women,Shoes,Heeled Boots,Frye,"Brown,Gold",6,N,Y,N,"",$210.00,$248.00,$1.50,$0.00,$0.00,$0.00,$0.00,$166.50,WA,98105,heavymascara,$22.68,$0.00,"",
05/31/2026,07/16/2026,"",6a58db2e3a2fa7ac87240921,"Manolo Blahnik Open-toe Chain Sandal Pump, 36, slv",Women,Shoes,Sandals,Manolo Blahnik,Silver,36EU,N,Y,N,"",$128.00,$320.00,$1.50,$0.00,$0.00,$0.00,$0.00,$100.90,FL,33127,lillianp430,$9.31,$0.00,"",
07/30/2026,08/03/2026,"",6a71160c1277fb0252de92f2,"🆕NWT 2 Tone V-Neck knit slit midi dress, Black/Cream, Sz Medium",Women,Dresses,Midi,Commense,"Black,Cream",M,N,N,Y,"",$28.00,$28.00,$0.00,$0.00,$0.00,$0.00,$0.00,$22.40,RI,02865,grzonfrilli169,$0.00,$0.00,This sale is exempt from sales tax.,
07/29/2026,08/03/2026,"",6a70881338b05857e21efa7f,"🆕NWT Commense Black Maxi Sweater Tank Dress with Cream Trim, Sz Medium",Women,Dresses,Maxi,Commense,"Black,Cream",M,N,Y,Y,"",$32.00,$44.00,$6.49,$0.00,$0.00,$0.00,$0.00,$19.11,SC,29582,bakerhel,$2.56,$0.00,"",
08/01/2026,08/13/2026,"",6a7e0065e18a52bcc3868957,Coleman Fold & Go Pet Cot - grey and black,Pets,Dog,"",Coleman,"Red,Black",OS,N,Y,N,"",$30.00,$36.00,$0.00,$0.00,$0.00,$0.00,$0.00,$24.00,FL,33707,a_l_9,$2.55,$0.00,"",
07/28/2026,08/14/2026,"",6a7f1897ed81c77134b420d7,"Vintage Due per Due Women's Pantsuit set, Sz 6, mauve purple",Women,Pants & Jumpsuits,Pantsuits,due per due,Purple,6,N,Y,N,"",$32.00,$78.00,$0.00,$0.00,$0.00,$0.00,$0.00,$25.60,FL,34997,debface,$0.00,$0.00,This sale is exempt from sales tax.,
08/16/2026,08/21/2026,"",6a88f656ff8a47a43933f891,"🆕NWT The Iconic Cotton Chino Ball Cap, yellow",Women,Accessories,Hats,Polo Ralph Lauren,"Yellow,Blue",OS,Y,Y,Y,"",$29.29,$41.00,$0.00,$0.00,$0.00,$0.00,$0.00,$23.43,IL,60136,heatherleim,$2.67,$0.00,"",
08/16/2026,08/21/2026,"",6a88f656ff8a47a43933f891,"🆕NWT Ralph Lauren Navy Corduroy Baseball Cap, one size",Women,Accessories,Hats,Polo Ralph Lauren,Blue,OS,Y,Y,Y,"",$30.71,$41.00,$0.00,$0.00,$0.00,$0.00,$0.00,$24.57,IL,60136,heatherleim,$2.80,$0.00,"",
""
Totals,"","","","","","","","","","","","","","","$19,451.00","$25,883.00",$434.13,"","","","","$15,116.87"
